Malay,English,,,,,
pejabat bahagian akauntan,account department office,,,,,
kementerian pertanian,agricultural ministry,,,,,
lapangan terbang,airport,,,,,
ATM,ATM,,,,,
kedai roti,bakery,,,,,
bank,bank,,,,,
pantai,beach,,,,,
bistro,bistro,,,,,
kedai buku,bookstore,,,,,
bangunan,building,,,,,
hentian bas,bus stop,,,,,
stesen bas,bus station,,,,,
kedai daging,butchery,,,,, 
kedai kopi,cafe,,,,,
kafeteria,cafeteria,,,,,
kedai gambar/foto,camera shop,,,,,
kantin,canteen,,,,,
casino,casino,,,,,
cinatown,chinatown,,,,,
gereja,church,,,,,
pawagam / panggung,cinema,,,,,
sarkas,circus,,,,,
dewan bandaraya,city hall,,,,,
konsert,concert,,,,,
kaunter,counter,,,,,
luar bandar,countryside,,,,,
mahkamah,court,,,,,
kementerian pertahanan,defense ministry,,,,,
klinik gigi,dentist,,,,,
klinik,clinic (doctor),,,,,
Utura,North,,,,,
Timur,East,,,,,
Selatan,South,,,,,
Barat,West,,,,,
kementerian pelajaran,education ministry,,,,,
kedutaan,embassy,,,,,
pameran,exhibition,,,,,
pesta,fair,,,,,
kedai ikan,fish shop,,,,,
kedai bunga,florist,,,,,
farmasi,pharmacy,,,,,
hutan,forest,,,,,
taman,garden,,,,,
stesen gas / stesen petrol,gas station,,,,,
rumah guard / pondok guard,guard house,,,,,
gim,gym,,,,,
kedai dandan rambut,hair dresser,,,,,
sekolah menengah,high school,,,,,
rumah,home,,,,,
